,arb,asm,ben,brx,bul,cat,ces,cmn,dan,deu,ell,eng,epo,eus,fin,fra,glg,guj,heb,hin,hrv,hun,ind,isl,ita,jpn,kan,kok,kor,lat,lit,mal,mon,msa,nep,nld,nob,ori,pan,pol,por,ron,rus,san,slk,slv,spa,sqi,swe,tam,tel,tha,tsn,tur,ukr,urd,vie,zsm,gla,gle,hye,kas,kat,mkd,nno,nso,zul
ell,0.191,0.531,0.598,0.464,1.271,1.594,1.171,0.039,1.499,1.395,1,1.22,1.518,1.371,0.686,1.551,1.527,0.575,0.248,0.365,1.254,1.173,0.564,0.496,1.923,0.486,0.263,0.6,0.146,1.372,1.246,0.359,0.285,0.628,0.573,1.391,1.305,0.647,0.601,1.03,1.882,1.411,0.937,0.275,1.043,1.273,1.51,1.596,1.239,0.249,0.228,0.209,0.297,1.152,0.86,0.463,0.201,0.498,0.624,0.897,0.673,0.495,0.869,1.318,1.38,0.211,0.191
eng,0.189,0.76,1.025,0.565,2.182,8.284,2.439,0.051,4.445,4.72,1.22,1,4.256,3.786,1.734,9.665,6.197,1.004,0.417,0.629,3.418,1.844,1.674,1.698,6.757,1.786,0.564,0.888,0.53,3.499,2.683,0.494,0.439,1.691,0.736,6.081,4.039,1.011,0.972,2.583,7.944,6.194,2.025,0.273,3.056,2.917,7.907,4.263,4.158,0.301,0.439,0.539,0.477,1.396,1.572,0.752,0.266,1.238,1.362,1.877,0.67,0.891,0.972,1.788,4.302,0.436,0.322
epo,0.299,0.915,1.076,0.739,2.656,5.819,3.255,0.027,4.372,4.934,1.518,4.256,1,3.355,1.494,6.052,5.412,1.111,0.616,0.689,2.824,3.073,1.381,1.201,6.123,1.244,0.569,1.146,0.389,5.9,2.935,0.58,0.547,1.328,1.097,4.28,3.847,1.231,1.046,2.54,7.275,4.627,2.668,0.402,2.546,3.03,5.421,3.95,3.988,0.356,0.482,0.447,0.525,2.417,2.61,0.789,0.473,1.335,1.368,2.116,1.154,0.807,1.747,3.193,3.881,0.432,0.379
eus,0.275,0.63,0.791,0.561,2.061,6.338,2.284,0.027,2.654,2.934,1.371,3.786,3.355,1,1.436,4.634,4.617,0.744,0.422,0.453,2.788,2.055,1.563,0.653,5.518,1.172,0.361,0.841,0.454,2.409,2.618,0.414,0.466,1.567,0.697,3.138,2.353,0.853,0.809,2.477,6.199,4.097,1.946,0.121,2.33,2.681,5.873,3.576,2.582,0.289,0.274,0.361,0.449,1.654,1.508,0.551,0.389,1.237,0.87,1.326,0.693,0.596,1.097,1.883,2.544,0.306,0.275
fin,0.181,0.348,0.453,0.31,1.133,1.597,1.341,0.016,1.671,1.793,0.686,1.734,1.494,1.436,1,1.622,1.355,0.463,0.215,0.311,1.39,1.581,0.802,0.828,1.825,0.686,0.262,0.394,0.333,0.847,1.541,0.228,0.361,0.785,0.38,1.72,1.593,0.459,0.481,1.287,1.785,1.511,1.02,0.043,1.384,1.436,1.484,1.357,1.964,0.114,0.177,0.24,0.287,0.901,1.058,0.41,0.292,0.634,0.461,0.682,0.533,0.474,0.673,1.097,1.73,0.236,0.173
fra,0.272,0.696,0.849,0.592,2.74,12.214,2.749,0.039,3.708,4.162,1.551,9.665,6.052,4.634,1.622,1,9.109,0.908,0.553,0.562,3.626,2.086,1.791,0.972,9.544,1.406,0.459,0.812,0.368,5.386,3.037,0.459,0.508,1.796,0.728,5.326,3.296,0.9,0.922,2.898,11.979,8.817,2.435,0.305,3.21,3.261,11.196,4.956,3.468,0.264,0.384,0.454,0.502,1.864,1.851,0.708,0.404,1.306,1.4,1.88,0.801,0.77,1.193,2.298,3.507,0.338,0.312
glg,0.265,0.658,0.697,0.529,2.304,16.886,2.335,0.059,3.318,3.265,1.527,6.197,5.412,4.617,1.355,9.109,1,0.805,0.548,0.643,2.977,2.061,1.346,0.827,8.2,1.01,0.421,0.792,0.321,6.107,2.763,0.399,0.428,1.294,0.685,3.817,2.849,0.859,0.762,2.409,14.994,7.071,1.979,0.285,2.502,2.676,18.223,4.135,2.805,0.307,0.34,0.352,0.439,1.91,1.791,0.601,0.474,1.262,1.171,1.764,0.746,0.671,1.006,2.013,2.881,0.337,0.312
guj,0.59,14.399,16.35,5.777,0.928,0.995,0.96,0.081,1.084,0.971,0.575,1.004,1.111,0.744,0.463,0.908,0.805,1,0.357,5.001,0.903,0.904,0.8,0.666,1.104,0.658,14.712,17.321,0.402,1.136,0.715,9.673,0.179,0.932,23.602,1.291,0.996,17.32,20.399,0.782,1.242,0.76,0.774,15.98,0.739,0.746,0.924,0.634,0.913,3.155,9.569,0.665,0.352,1.311,0.831,6.14,0.504,1.019,0.676,0.929,0.706,7.456,0.472,1.159,1.211,0.398,0.362
heb,0.392,0.295,0.203,0.323,0.454,0.495,0.437,0.083,0.553,0.546,0.248,0.417,0.616,0.422,0.215,0.553,0.548,0.357,1,0.258,0.474,0.436,0.318,0.195,0.606,0.211,0.165,0.253,0.139,0.292,0.652,0.221,0.164,0.335,0.305,0.566,0.551,0.184,0.355,0.488,0.744,0.478,0.427,0.144,0.503,0.511,0.472,0.659,0.472,0.177,0.108,0.132,0.136,0.479,0.398,0.296,0.2,0.32,0.137,0.27,0.392,0.236,0.255,0.515,0.602,0.065,0.131
hin,0.434,3.278,3.237,1.883,0.616,0.623,0.636,0.101,0.774,0.692,0.365,0.629,0.689,0.453,0.311,0.562,0.643,5.001,0.258,1,0.589,0.645,0.55,0.529,0.649,0.458,2.83,3.542,0.354,0.787,0.489,2.499,0.149,0.632,5.176,0.839,0.731,3.209,4.464,0.585,0.847,0.532,0.616,3.46,0.481,0.53,0.587,0.631,0.64,1.124,2.515,0.479,0.325,1.081,0.844,4.221,0.367,0.72,0.682,0.782,0.671,1.987,0.563,1.051,0.883,0.222,0.336
